offset	name						id
0		Tux							tux
1		quickemu project logo		quickemu
2		Agarim OS					agarimos
3		Alma Linux					almalinux
4		Alpine						alpine
5		Android						android
6		Antix						antix
7		Archbang					archbang
8		Archcraft					archcraft
9		ArchLabs					archlabs
10		Arch Linux					archlinux
11		Arco Linux					arcolinux
12		Artix Linux					artixlinux
13		Arya Linux					aryalinux
14		Athena OS					athenaos
15		BackBox						backbox
16		BigLinux					biglinux
17		Bodhi Linux					bodhi
18		bunsenlabs					bunsenlabs
19		CentOS						centos
20		Cereus Linux				cereus
21		CoreOS						coreos
22		Crystal Linux				crystal
23		Debian						debian
24		Devuan						devuan
25		DietPi						dietpi
26		/e/ OS						eos
27		elementary OS				elementary
28		Endeavour OS				endeavouros
29		Fedora						fedora
30		FreeBSD						freebsd
31		FreeDOS						freedos
32		Garuda Linux				garuda
33		Gentoo						gentoo
34		GhostBSD					ghostbsd
35		GNU Guix					gnuguix
36		Haiku						haiku
37		Hyperbola GNU/Linux-libre	hyperbola
38		illumos						illumos
39		Kali Linux					kalilinux
40		Linux Lite					linuxlite
41		Linux Mint					linuxmint
42		Linux Mint Debian Edition	lmde
43		LXLE Linux					lxle
44		Mabox						mabox
45		macOS						macos
46		Mageia						mageia
47		Mandriva					mandriva
48		Manjaro						manjaro
49		MidnightBSD					midnightbsd
50		MX Linux					mxlinux
51		netBSD						netbsd
52		netboot.xyz					netbootxyz
53		NitruX						nitrux
54		NixOS						nixos
55		Nobara						nobara
56		Open Mandriva				openmandriva
57		OpenBSD						openbsd
58		OpenSUSE					opensuse
59		Parabola GNU/Linux-libre	parabola
60		Parrot security				parrotsecurity
61		Puppy Linux					puppy
62		PCLinuxOS					pclinuxos
63		Pop!_OS						popos
64		PostmarketOS				postmarketos
65		PureOS						pureos
66		Q4OS						q4os
67		QubesOS						qubesos
68		Raspberry pi				raspberry-pi
69		RebornOS					rebornos
70		Regolith					regolith
71		Rocky Linux					rockylinux
72		Sabayon						sabayon
73		Slackware					slackware
74		Slitaz						slitaz
75		smartos						smartos
76		siduction					siduction
77		Solus						solus
78		SteamOS						steamos
79		Tails						tails
80		Trisquel GNU/Linux			trisquel
81		TrueNAS core				truenas-core
82		TrueOS						trueos
83		Tuxedo OS					tuxedoos
84		Ubuntu						ubuntu
85		Kubuntu						kubuntu
86		Lubuntu						lubuntu
87		Xubuntu						xubuntu
88		Ubuntu Budgie				ubuntu-budgie
89		Ubuntu Kylin				ubuntu-kylin
90		Ubuntu Mate					ubuntu-mate
91		Ubuntu Studio				ubuntu-studio
92		Ultimate Edition			ultimateedition
93		Ultramarine					ultramarine
94		Vanilla OS					vanilla
95		Void Linux					voidlinux
96		VXlinux						vxlinux
97		Whonix						whonix
98		Windows						windows
99		XeroLinux					xerolinux
100		Zorin OS					zorin
101		Asahi Linux					asahilinux
102		Deepin						deepin
103		KaiOS						kaios
104		KDE Neon					kdeneon
105		Lineage OS					lineageos
106		Locos						locos
107		ReactOS						reactos
108		Sailfish OS					sailfishos
109		Slint						slint
110		Ubuntu Unity				ubuntu-unity
